vehicle_id,title,description,link,image_link,make,model,year,mileage.value,mileage.unit,body_style,exterior_color,state_of_vehicle,price,currency,address,latitude,longitude,offer_type,amount_price,amount_qualifier,fuel_type,transmission,drivetrain
VF3VPFC36TZ030605,Expert Furgon Xl · od 1799 PLN/mies.,Peugeot Expert Furgon Xl · Rata od 1799 PLN netto/mies. · Leasing B2B · Świdnik · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vpfc36tz030605/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VPFC36TZ030605_clean.webp,Peugeot,Expert,2025,0,KM,Van,Bialy Icy Lakier Bazowy,New,1798 PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""ŚWIDNIK"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,1799 PLN,per month,Diesel,Manual,FWD
VF3VJYHV8TU421940,Expert Furgon Xl · od 1770 PLN/mies.,Peugeot Expert Furgon Xl · Rata od 1770 PLN netto/mies. · Leasing B2B · Toruń · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vjyhv8tu421940/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VJYHV8TU421940_clean.webp,Peugeot,Expert,2025,0,KM,Van,Bialy Icy Lakier Bazowy,New,1810 PLN,PLN,"{""addr1"": ""UL. SZOSA BYDGOSKA 52"", ""city"": ""TORUŃ"", ""region"": ""KUJAWSKO-POMORSKIE"", ""country"": ""PL""}",53.0138,18.5984,LEASE,1770 PLN,per month,Diesel,Manual,FWD
VF3VJYHV5TU421815,Expert Furgon M · od 1668 PLN/mies.,Peugeot Expert Furgon M · Rata od 1668 PLN netto/mies. · Leasing B2B · Katowice · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vjyhv5tu421815/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VJYHV5TU421815_clean.webp,Peugeot,Expert,2025,0,KM,Hatchback,Bialy Icy Lakier Bazowy,New,1706 PLN,PLN,"{""addr1"": ""AL. ROŹDZIEŃSKIEGO 170"", ""city"": ""KATOWICE"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2649,19.0238,LEASE,1668 PLN,per month,Diesel,Manual,FWD
VF3YDG8F9TG028082,Boxer Base · od 2591 PLN/mies.,Peugeot Boxer Base · Rata od 2591 PLN netto/mies. · Leasing B2B · Częstochowa · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydg8f9tg028082/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG8F9TG028082_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Szary Expedition,New, PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""CZĘSTOCHOWA"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,2591 PLN,per month,Diesel,Automatic,FWD
VF3VPFC16TU420390,Expert Furgon Xl · od 2161 PLN/mies.,Peugeot Expert Furgon Xl · Rata od 2161 PLN netto/mies. · Leasing B2B · Kalisz · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/expert/vf3vpfc16tu420390/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3VPFC16TU420390_clean.webp,Peugeot,Expert,2025,0,KM,Van,B0Mm0B B0Ngris Titaneb,New,2160 PLN,PLN,"{""addr1"": ""UL. CZĘSTOCHOWSKA 144"", ""city"": ""KALISZ"", ""region"": ""WIELKOPOLSKIE"", ""country"": ""PL""}",51.7612,18.0929,LEASE,2161 PLN,per month,Diesel,Automatic,FWD
VF3YDG6F1TG027320,Boxer Base · od 2064 PLN/mies.,Peugeot Boxer Base · Rata od 2064 PLN netto/mies. · Leasing B2B · Opole · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydg6f1tg027320/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG6F1TG027320_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Bialy Icy,New, PLN,PLN,"{""addr1"": ""UL. WROCŁAWSKA 137"", ""city"": ""OPOLE"", ""region"": ""OPOLSKIE"", ""country"": ""PL""}",50.6751,17.9213,LEASE,2064 PLN,per month,Diesel,Manual,FWD
VF3YDF8F3TG027343,Boxer Base · od 2193 PLN/mies.,Peugeot Boxer Base · Rata od 2193 PLN netto/mies. · Leasing B2B · KRASNE · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydf8f3tg027343/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDF8F3TG027343_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Szary Lanzarote Thunder,New, PLN,PLN,"{""addr1"": ""AL. KRAKOWSKA 206"", ""city"": ""KRASNE"", ""region"": ""MAZOWIECKIE"", ""country"": ""PL""}",52.2084,20.9412,LEASE,2193 PLN,per month,Diesel,Automatic,FWD
VF3YDG6F5TG027319,Boxer Base · od 2014 PLN/mies.,Peugeot Boxer Base · Rata od 2014 PLN netto/mies. · Leasing B2B · Legnica · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydg6f5tg027319/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDG6F5TG027319_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Szary Lanzarote Thunder,New, PLN,PLN,"{""addr1"": ""UL. JAWORZYŃSKA 235"", ""city"": ""LEGNICA"", ""region"": ""DOLNOŚLĄSKIE"", ""country"": ""PL""}",51.2070,16.1619,LEASE,2014 PLN,per month,Diesel,Manual,FWD
VF3YCG6F0TG027344,Boxer Base · od 2152 PLN/mies.,Peugeot Boxer Base · Rata od 2152 PLN netto/mies. · Leasing B2B · Katowice · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ycg6f0tg027344/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YCG6F0TG027344_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Szary Lanzarote Thunder,New, PLN,PLN,"{""addr1"": ""AL. ROŹDZIEŃSKIEGO 170"", ""city"": ""KATOWICE"", ""region"": ""ŚLĄSKIE"", ""country"": ""PL""}",50.2649,19.0238,LEASE,2152 PLN,per month,Diesel,Manual,FWD
VF3YDF6F7TG027316,Boxer Base · od 1902 PLN/mies.,Peugeot Boxer Base · Rata od 1902 PLN netto/mies. · Leasing B2B · Toruń · Sprawdź ofertę!,https://sklep.peugeot.pl/produkt/boxer/vf3ydf6f7tg027316/,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VF3YDF6F7TG027316_clean.webp,Peugeot,Boxer,2025,0,KM,Hatchback,Bialy Icy,New, PLN,PLN,"{""addr1"": ""UL. SZOSA BYDGOSKA 52"", ""city"": ""TORUŃ"", ""region"": ""KUJAWSKO-POMORSKIE"", ""country"": ""PL""}",53.0138,18.5984,LEASE,1902 PLN,per month,Diesel,Manual,FWD
