vehicle_id,title,make,model,year,link,image_link,exterior_color,additional_image_link,trim,offer_disclaimer,offer_disclaimer_url,offer_type,term_length,offer_term_qualifier,amount_price,amount_percentage,amount_qualifier,downpayment,downpayment_qualifier,emission_disclaimer,emission_disclaimer_url,emission_overlay_disclaimer,emission_image_link
DS-MODEL-8388097764304277390-3619270417535040901,DS N°4 E-TENSE,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_E-TENSE.png,White Pearl,,E-Tense,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 222000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 19%, miesięczna rata leasingowa netto: 2095 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,LEASE,24,months,2095 PLN,,per month,22200 PLN,due at signing,,,,
DS-MODEL-8388097764304277390-3902691923963394475,DS N°4 E-TENSE,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_E-TENSE.png,Perla Nera Black,,E-Tense,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 222000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 19%, miesięczna rata leasingowa netto: 2095 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,LEASE,24,months,2095 PLN,,per month,22200 PLN,due at signing,,,,
DS-MODEL-8388097764304277390-5384831478796318838,DS N°4 E-TENSE,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_E-TENSE.png,Night Flight,,E-Tense,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 222000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 19%, miesięczna rata leasingowa netto: 2095 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,LEASE,24,months,2095 PLN,,per month,22200 PLN,due at signing,,,,
DS-MODEL-8388097764304277390-4114458936042363503,DS N°4 E-TENSE,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_E-TENSE.png,Cashmere,,E-Tense,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 222000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 19%, miesięczna rata leasingowa netto: 2095 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,LEASE,24,months,2095 PLN,,per month,22200 PLN,due at signing,,,,
DS-MODEL-8388097764304277390-6644551220755008006,DS N°4 E-TENSE,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_E-TENSE.png,Crystal Pearl,,E-Tense,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 222000 zł, okres leasingu 25 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 19%, miesięczna rata leasingowa netto: 2095 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/e-tense.html,LEASE,24,months,2095 PLN,,per month,22200 PLN,due at signing,,,,
DS-MODEL-3598283297656008588-3619270417535040901,DS N°4 HYBRID,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_HYBRID.png,White Pearl,,Hybrid,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 153700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1390 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,LEASE,24,months,1390 PLN,,per month,15370 PLN,due at signing,,,,
DS-MODEL-3598283297656008588-3902691923963394475,DS N°4 HYBRID,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_HYBRID.png,Perla Nera Black,,Hybrid,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 153700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1390 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,LEASE,24,months,1390 PLN,,per month,15370 PLN,due at signing,,,,
DS-MODEL-3598283297656008588-5384831478796318838,DS N°4 HYBRID,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_HYBRID.png,Night Flight,,Hybrid,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 153700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1390 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,LEASE,24,months,1390 PLN,,per month,15370 PLN,due at signing,,,,
DS-MODEL-3598283297656008588-4114458936042363503,DS N°4 HYBRID,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_HYBRID.png,Cashmere,,Hybrid,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 153700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1390 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,LEASE,24,months,1390 PLN,,per month,15370 PLN,due at signing,,,,
DS-MODEL-3598283297656008588-6644551220755008006,DS N°4 HYBRID,DS Automobiles,DS N°4,2025,https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,https://www.dsautomobiles.pl/content/dam/ds/master/ds-range/ds-n4/thumbnails/N4_HYBRID.png,Crystal Pearl,,Hybrid,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 153700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1390 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/hybrid.html,LEASE,24,months,1390 PLN,,per month,15370 PLN,due at signing,,,,
