vehicle_id,title,price_brutto,installment_netto,months,down_payment_pct,disclaimer,model_code
LEAP-56B98F3E6E,Leapmotor C10,139575,,,,Cena bazowa pojazdu wyciągnięta ze strony głównej (od).,C10
LEAP-8823C7F9E5,Leapmotor B10,99900,,,,Cena bazowa pojazdu wyciągnięta ze strony głównej (od).,B10
LEAP-8AF40621DC,Leapmotor T03,69900,,,,Cena bazowa pojazdu wyciągnięta ze strony głównej (od).,T03
